Designator,Mid X,Mid Y,Layer,Rotation
C183,3.6484,1.7462,top,90
C184,-41.3584,-1.2842,top,180
C185,52.727,-14.4904,top,0
C186,56.1822,-14.4956,top,0
C187,59.6404,-14.5168,top,0
C188,62.4584,-6.8154,top,180
C189,50.4028,-6.6794,top,90
C190,-43.038,0.3132,top,180
C191,-118.037,-21.3314,top,180
C192,34.4732,-8.9204,top,180
C193,-39.1414,22.7514,top,180
C194,-16.6762,12.3698,top,-90
C195,-29.5402,-2.7594,top,0
C196,-42.0878,11.8826,top,90
C197,-50.8254,-2.7686,top,-90
C198,-42.1926,17.0758,top,90
C199,-16.4878,19.849,top,90
C200,-26.4446,-2.727,top,180
C201,18.8722,-20.8326,top,180
C202,-46.2534,-7.9534,top,90
C203,-110.3604,-12.4968,top,180
C204,-112.3366,-12.4906,top,180
C205,46.5084,17.1216,top,180
C206,46.5084,14.5716,top,180
C207,39.4634,-3.9784,top,180
C208,45.902641,-6.1084,top,0
C209,56.7684,14.4216,top,180
C210,56.7684,17.0216,top,180
C211,51.9484,19.6216,top,0
C212,51.9484,17.0216,top,0
C213,51.9484,14.4216,top,0
C214,39.4434,-8.8584,top,180
C215,39.4434,-6.3834,top,180
C216,48.6434,0.3166,top,90
C217,26.7484,29.7866,top,0
C218,-20.5066,-23.5834,top,-90
C219,-23.0316,-23.5584,top,-90
C220,-15.7396,-23.488641,top,-90
C221,-25.1616,-22.7184,top,-90
C222,-48.266841,-23.5284,top,-90
C223,-35.9316,-24.3084,top,-90
C224,-38.4566,-24.3084,top,-90
C225,-40.9566,-24.3084,top,-90
C226,-43.4316,-24.3084,top,-90
C227,3.8484,10.1966,top,90
C228,19.1034,31.0466,top,90
C229,111.6634,0.3746,top,90
D1,35.0964,34.1278,top,0
D4,31.7944,34.1242,top,0
D5,31.7944,36.1272,top,0
D6,35.0964,36.1236,top,0
D7,16.3906,42.1288,top,180
D8,13.077,42.1252,top,180
D9,16.3914,44.2312,top,180
D12,13.0604,44.261,top,180
D13,16.4068,33.8992,top,180
D14,13.108,33.8716,top,180
D15,16.41,35.8564,top,180
D16,13.108,35.86,top,180
D17,16.4436,37.923,top,180
D18,13.1184,37.896,top,180
D19,16.4168,39.9788,top,180
D20,13.1112,39.9822,top,180
DISPLAY_OK1,-44.9616,18.6716,top,0
DSP_OK1,14.3484,-26.9734,top,180
J1,-129.284155,43.717714,top,180
J2,38.138299,-20.882941,top,-90
J3,107.2854,-25.0454,top,90
J4,-17.5806,-17.7254,top,90
J5,-139.6366,-19.1334,top,-90
J7,-87.4206,76.8766,top,90
J8,-62.4206,76.8766,top,90
J9,-37.4206,76.8766,top,90
J11,42.63265,76.9582,top,90
J12,67.63265,76.9582,top,90
J13,92.63265,76.9582,top,90
J14,-112.4206,76.8766,top,90
J15,17.63265,76.9582,top,90
J16,-13.76578,28.567522,top,-90
J17,51.726,-25.4098,top,90
L1,112.083,-9.98,top,90
L2,109.1038,25.6802,top,90
L3,90.9796,25.6802,top,90
L4,81.0722,-9.4482,top,90
L5,54.345246,9.68676,top,180
L6,77.4874,16.3996,top,180
L7,90.9796,40.798918,top,90
L8,109.1038,40.8048,top,90
PS1,87.228759,-2.171621,top,180
PS2,101.841221,-2.2718,top,180
R1,28.8268,-3.9848,top,-90
R2,11.5742,8.4734,top,180
R3,44.1764,54.8772,top,180
R4,40.8232,59.6974,top,180
R5,43.2248,58.795,top,-90
R6,49.4026,61.345,top,180
R7,55.8026,57.495,top,-90
R8,48.6026,52.795,top,90
R9,50.1526,52.795,top,90
R10,14.3348,29.0186,top,-90
R11,54.1526,54.345,top,-90
R12,-44.0566,16.0041,top,-90
R13,43.9758,43.4492,top,0
R14,43.8258,41.8492,top,180
R15,59.5274,41.5944,top,180
R16,59.5274,39.9936,top,180
R17,43.6758,47.0492,top,0
R18,-34.569,22.6754,top,0
R19,57.1774,42.2944,top,90
R20,57.2274,39.1936,top,90
R21,55.5774,42.2444,top,90
R22,55.6774,39.1936,top,-90
R23,55.7138,44.9912,top,180
R24,1.4384,9.4066,top,180
R25,13.3428,-25.3386,top,0
R26,40.7632,54.9188,top,0
R27,39.0988,41.933868,top,0
R28,-0.1384,54.8614,top,0
R29,-0.1138,59.7392,top,180
R30,39.0988,43.527734,top,0
R31,41.4972,44.35,top,90
R32,41.5258,41.0992,top,90
R33,21.2728,-24.0206,top,-90
R34,3.0894,54.913,top,180
R35,2.3116,59.013,top,-90
R36,9.0046,61.4734,top,180
R37,13.1934,54.1376,top,-90
R38,14.8712,57.4622,top,-90
R39,7.9934,52.6376,top,90
R40,9.5434,52.6376,top,90
R41,-72.3208,55.85,top,0
R42,-72.27,60.7032,top,180
R43,-69.1192,55.7984,top,180
R44,-69.92,59.9024,top,-90
R45,-62.6232,61.595,top,180
R46,-59.2438,54.8166,top,-90
R47,-57.7438,58.0166,top,-90
R48,-64.4938,53.2166,top,90
R49,-62.9438,53.2166,top,90
R50,-114.8834,55.2108,top,0
R51,-114.8834,60.0108,top,180
R52,-111.8334,55.2108,top,180
R53,-112.5834,59.2108,top,-90
R54,-104.8982,60.9528,top,180
R55,-101.8334,54.202,top,-90
R56,-100.2334,57.352,top,-90
R57,-106.9334,52.502,top,90
R58,-105.3834,52.502,top,90
R59,-52.671,44.021,top,180
R60,-52.671,42.481,top,180
R61,-54.971,44.831,top,90
R62,-54.971,41.731,top,90
R63,-57.371,44.131,top,180
R64,-57.371,42.531,top,0
R65,-57.821,47.731,top,180
R66,-15.4116,-14.2354,top,-90
